metabolite,sdbpc1_both_coeff,sdbpc2_both_coeff,sdbpc1_female_coeff,sdbpc2_female_coeff,sdbpc1_male_coeff,sdbpc2_male_coeff,chemical_name
X100020217,0,0,0,0,0,0,"N,N,N-trimethyl-alanylproline betaine (TMAP)"
X100020241,0.003227789,0,0,0,0.015956732,0,gamma-glutamylcitrulline*
X100020254,0,0,0,0,0,0,glycine conjugate of C10H14O2 (1)*
X100020259,0,0,0,0,0,0,glutamine conjugate of C7H12O2*
X100020261,0,0.000522801,0,0,0,0,glutamine conjugate of C6H10O2 (1)*
X100020262,0.001280499,0.000332142,0,0,0,0,glutamine conjugate of C6H10O2 (2)*
X100020276,0,0,0,0,0,0,"sphingomyelin (d17:1/14:0, d16:1/15:0)*"
X100020343,0,-0.020198939,0,0,-0.009840009,0,tetradecadienoate (14:2)*
X100020351,0,0,0,0,0,0,N-carbamoylvaline
X100020360,0,0,0,0,0,0,8-methoxykynurenate
X100020361,0.020161299,0,0,0,0.032178529,0,3-amino-2-piperidone
X100020371,0,0,0,0,-0.017079163,0,"N,N-dimethylalanine"
X100020409,0,0,0,0,0,0.007489381,ascorbic acid 3-sulfate*
X100020414,0,-0.003728831,0,0,0,0,6-bromotryptophan
X100020416,0,0,0,0,0,0,delta-CEHC
X100020417,0,0,0,0,0,0,"N6,N6-dimethyllysine"
X100020419,0,0,0,0,0,0,1-carboxyethylphenylalanine
X100020423,0,0,0,0,0,0,1-carboxyethylvaline
X100020425,0,0,0,0,0,0,1-carboxyethylleucine
X100020427,0,0,0,0,0,0,1-carboxyethylisoleucine
X100020478,0,0,0,0,0,0,dodecadienoate (12:2)*
X100020479,0,0,0,0,0,0,indoleacetoylcarnitine*
X100020487,0,0,0,0,0,0,N-acetyl-isoputreanine
X100020541,0,0,0,0,0,0,11beta-hydroxyandrosterone glucuronide
X100020542,0,0,0,0,0,0,11beta-hydroxyetiocholanolone glucuronide*
X100020545,0,0,0,0,0,0,"N2-acetyl,N6,N6-dimethyllysine"
X100020546,0,0,0,0,0,0,"N2-acetyl,N6-methyllysine"
X100020550,0,0,0,0,0,0,deoxycholic acid glucuronide
X100020823,0,0,0,0,0,0,lithocholate sulfate (1)
X100020825,0,0.000617745,0,1.38852E-05,0,0,3-hydroxyhexanoylcarnitine (1)
X100020833,0,0,0,0,0,0,2-ketocaprylate
X100020893,0,0,0,0,0,0,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"
X100020902,0.003442463,0,0,0,0.009384743,0,Fibrinopeptide A (2-15)**
X100020908,0,0,0,0,0,0,Fibrinopeptide B (1-13)**
X100020910,0.013070672,0,0,0,0.012871331,0,Fibrinopeptide B (1-12)**
X100020912,0,0.012760974,0,0,0.009363251,0,Fibrinopeptide B (1-11)**
X100020913,0,0,0,0,0,0,Fibrinopeptide B (1-9)**
X100021000,0,0,0,0,0,0,hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**
X100021093,0,0,0,0,0,0,taurochenodeoxycholic acid 3-sulfate
X100021100,0,0,0,0,0,0,tetradecadienedioate (C14:2-DC)*
X100021103,0,0,0,0,0,0,pregnenetriol sulfate*
X100021104,0,0,0,0,0,0,pregnenetriol disulfate*
X100021105,0.011572359,0,0.013379354,0,0,0,eicosenedioate (C20:1-DC)*
X100021123,0,0,0,0,0,0,"hydroxy-N6,N6,N6-trimethyllysine*"
X100021220,0,0,0,0,0,0,succinoyltaurine
X100021331,0.012554369,0,0,0,0.032165482,0,metabolonic lactone sulfate
X100021372,0,0.006309423,0.012998779,0,0,0,2-hydroxy-4-(methylthio)butanoic acid
X100021374,-0.012554041,0,-0.003192124,0,0,0.001355763,branched chain 14:0 dicarboxylic acid**
X100021467,0,0,0,0,0,0,pentose acid*
X100021478,-0.001181766,0,0,0,0,0,1-methyl-5-imidazolelactate
X100021502,0,0,0,0,0,0,(2 or 3)-decenoate (10:1n7 or n8)
X100021530,0,0.019663235,0,0,0,0,S-carboxyethylcysteine
X100021666,0,0,0,0,0,0,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*"
X100021709,0,0,0,0,0,0,"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*"
X100021711,0,0,0,0,0,0,decadienedioic acid (C10:2-DC)**
X100021712,0,0,0,0,0,0.002834631,deoxycholic acid 12-sulfate*
X100021727,0.000878319,0.004741072,0.00299447,0,0,0,"cis-3,4-methyleneheptanoate"
X100021760,0,0,0,0,0.015802225,0,N-acetyl-2-aminoadipate
X100021990,-0.006737863,0,-0.037381028,0,0,0,3-hydroxyoctanoylcarnitine (1)
X100021991,-0.026961059,0,0,0,0,0,3-hydroxyoctanoylcarnitine (2)
X100021992,0.007080431,0,0,0,0.006431149,0,"cis-3,4-methyleneheptanoylglycine"
X100022003,0,0,0,0,0,0,"bilirubin degradation product, C16H18N2O5 (1)**"
X100022004,0,0,0,0,0,0,"bilirubin degradation product, C16H18N2O5 (2)**"
X100022005,0,0,0,0,0,0,"bilirubin degradation product, C17H18N2O4 (1)**"
X100022006,0,0,0,0,-0.0032869,0,"bilirubin degradation product, C17H18N2O4 (2)**"
X100022007,-0.002327688,0,0,0,0,0,"bilirubin degradation product, C17H18N2O4 (3)**"
X100022008,0,0,0,0,0,0,"bilirubin degradation product, C17H20N2O5 (1)**"
X100022009,0,0,0,0,0,0,"bilirubin degradation product, C17H20N2O5 (2)**"
X100022013,0,0,-0.005899574,0,0,0,tetrahydrocortisol glucuronide
X100022014,0,0,0,0,0,0,"bilirubin degradation product, C16H18N2O5 (3)**"
X100022015,-0.00063581,0,0,0,0,0,"bilirubin degradation product, C16H18N2O5 (4)**"
X100022041,0,0,0.006033719,0,0,0,"N,N-dimethyl-pro-pro"
X100022120,0,0,0,0,0,0,oxindolylalanine
X100022127,0,0,0,0,0,0,tetrahydrocortisone glucuronide (5)
X1001,0,0,0,0,0,0,trans-4-hydroxyproline
X1002,-0.026723478,0,-0.010052982,0.024853725,-0.028227212,0,allantoin
X1004,0,0,0,0,0,0,xanthine
X1021,-0.003525624,0,-0.010979147,0,0,0,5-oxoproline
X1022,0,0,0,0,0,0,picolinate
X1023,0,0,0,0,0,0,sarcosine
X1024,0,-0.005864156,0,0,0.000827423,0,pantothenate
X1025,0,0,0,0,0,0,pipecolate
X1052,-0.006179756,0.012227989,-0.007035062,0,0,0.0142434,glycerate
X1053,0.007808644,0,0,0,0.023746757,0,3-ureidopropionate
X1082,-0.011944746,0,0,0,-0.021300581,0,N-acetylleucine
X1083,0,0.010971539,0,0,0,0,N-acetylmethionine
X1084,0,0,0,0,0,0,N-acetylvaline
X1087,0,0.008898655,0,0,0,0,erucate (22:1n9)
X1090,-0.009699198,0,-0.01528189,0,0,0,"bilirubin (Z,Z)"
X1094,0,0,0,0,0,0,thyroxine
X1102,0,0,0,0,0,0,gamma-glutamyltyrosine
X1105,0.002864584,0,0,0,0,0,alpha-tocopherol
X111,0,0,0,0,0,0,3-hydroxyisobutyrate
X1110,0,0,0,0,0,0,N-acetylalanine
X1111,0.063863248,0,0.035257099,0,0.05010608,0,vanillylmandelate (VMA)
X1113,0,0,0,0,0,0,4-acetamidobutanoate
X1114,0,0,0,0,0,-0.004474422,3-aminoisobutyrate
X112,0,0.029364639,0,0,0,0.006187057,3-hydroxy-3-methylglutarate
X1124,0,0,0,0,0,0,citrate
X1128,0,0,0,0,0,0,2-aminobutyrate
X1134,0,0,0,0,0,0,urate
X1135,0,0,0,0,0,0,ursodeoxycholate
X1137,0,0.005696719,0,0,0,0.017426254,oleoyl ethanolamide
X1140,0,0,0,0,0,0,gamma-glutamylglutamine
X1141,0,0,0,0,0,0,4-hydroxyphenylpyruvate
X1143,0,0,0,0,0,0,butyrate/isobutyrate (4:0)
X1162,0,0,0,0,0,0,N-acetylneuraminate
X1221,0,0,0,0,0,0,creatine
X1231,0,0,0,0,0,0,dihomo-linoleate (20:2n6)
X1235,0,0,0,0,0,0,gamma-glutamylhistidine
X1239,0.004800959,0,0.000748431,0,0.002151862,0,2-hydroxystearate
X1242,0,0,0,0.010800673,0,0,N1-methyladenosine
X1254,0,0,0,0,0,0,glycerol
X1256,0,0,0,0,0,0,choline
X1268,0,0,0,0,0,0,gamma-glutamylleucine
X1342,0,0,0.018551215,0,0,0,3-methoxytyrosine
X136,0,0,0,0,0,0,cholate
X1442,0,0.009087961,0,0,0,0,beta-hydroxyisovalerate
X1489,0,0.020887189,0,0,0,0.003517114,palmitoyl ethanolamide
X1518,0,0,0,0,0,0,N-palmitoyl-sphingosine (d18:1/16:0)
X1526,0,0.007619721,0,0,0,0,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
X1528,0,0,0,0,0,0,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
X1537,0,0,0,0,0,0,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
X1538,0,0,0,0,0,0,stearoyl sphingomyelin (d18:1/18:0)
X1539,0,0,0,0,0,0,1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
X158,0,0,0,0,0,0,"5,6-dihydrothymine"
X1628,0,0,0.007994674,0,-0.012838104,0,glycochenodeoxycholate
X1629,0,0,0.002021331,0,0,0,taurochenodeoxycholate
X171,0,0.002977498,0,0,0,0,hypoxanthine
X179,0,0,0,0,0,0,"9,10-DiHOME"
X180,0,0,0,0,0,0,linoleate (18:2n6)
X181,0,0,0,0,0,0,laurate (12:0)
X182,0,0,0,0,0,0,quinolinate
X189,0,0,0,0,0,0,"N6,N6,N6-trimethyllysine"
X192,0,0,0,0,0,0,N-acetylputrescine
X194,0,0.005788946,0,0.016494896,0,0,N-formylmethionine
X197,0,0,0,0,0,0,S-adenosylhomocysteine (SAH)
X2029,0,0,0,0,0,0,azelate (C9-DC)
X2050,0,0,0,0,0,0,eicosapentaenoate (EPA; 20:5n3)
X2054,0,0,0,0,0,0,ethylmalonate
X212,0.009002802,0,0,0,0.007191749,0,5-methylthioadenosine (MTA)
X229,0,0,0,0,0,0,arachidonate (20:4n6)
X231,0.036412487,0,0.03534497,0,0.017680955,0,arginine
X234,0,0,0,0,0,0,aspartate
X240,0,0,0,0,-0.003957084,0,3-(4-hydroxyphenyl)lactate
X241,0.002375867,0,0,0,0,0,phenylpyruvate
X250,0,0,-0.026927654,0,0,0,biliverdin
X254,0,0,0,0,0,0,3-hydroxybutyrate (BHBA)
X266,0,0,0,0,0,0,cholesterol
X267,0.019953916,0,0,0,0.045442167,0,choline phosphate
X273,0,0,0,0,0,0,cortisone
X275,-0.029496947,0,-0.034251298,0,0,0,creatinine
X279,0,0,0,0,-0.022088197,0,cystine
X302,0,0,0,0,0,0,deoxycholate
X310,0,0,0,0,0,0,cystathionine
X330,-0.005555417,0,0,0,-0.002528896,0,fumarate
X331,0.025411394,0,0.03785018,0,0,0,gamma-glutamylglutamate
X339,0,0,0,0,0,0.006644695,glutarate (C5-DC)
X340,0,0,0,0,0,0,glycine
X342,0,0,0,0,0,0,glycocholate
X344,0,0,0,0,0,0,guanidinoacetate
X35,0,0,0,0,0,0,S-1-pyrroline-5-carboxylate
X355,-0.002206525,0,0,0,0,0,histidine
X356,-0.010167235,0,-0.004557366,0,0,0,cortisol
X358,0,0,0,0,0,0,hypotaurine
X363,0,0,0,0,0,0,myo-inositol
X376,0,0,0,0,0,0,isoleucine
X381,0,0,0,0,0,0,2-aminoadipate
X391,0,0,0,0,0,0,citrulline
X397,0,0,0,0,0,0,leucine
X407,0.006271067,0,0,0,0.004769382,0,lysine
X409,-0.005547911,0,0,0,0,0,malate
X415,0,0,0.005994188,0,0,-0.001859634,methionine
X424,0,0,0,0,0,0,palmitate (16:0)
X432,0,0,0,0,0,0,nicotinamide
X439,0,0,0,0,0,0,stearate (18:0)
X444,0,0,0,0,0,0,ornithine
X445,-0.007620807,0,0,0,-0.02620107,0,orotate
X452,0,0,0,0,0,0,palmitoleate (16:1n7)
X460,0,0,0,0,0,0,phenylalanine
X461,0,0,0,0,0,0,phosphate
X480,-0.011060729,0,0,0,-0.023963294,-0.007381852,proline
X482,0,0,0,0,0,0,lactate
X498,0,0,0,0,0,0,retinol (Vitamin A)
X503,0,0,0,0,0,0,serine
X512,0,0,0,0,0,0,taurine
X519,0,0,0,0,0,0,myristate (14:0)
X533,0.006195637,0,0.014374388,0,0,0,urea
X535,0,0,0,0,0,0,uridine
X537,0,0.011055696,0,0,0,0.009107845,trans-urocanate
X55,0,0,-0.009105777,0,0,0,1-methylnicotinamide
X561,0,0.010929938,0,0.001389596,0,0,glutamate
X563,0,0,0,0,0,0,glutamine
X564,0,-0.014228165,0,0,0,-0.009732338,threonine
X565,0,0,0.006686212,0,0,0,tryptophan
X566,0,0,0,0,0,0,valine
X572,0,0,0,0,0,0,glucose
X799,0,0,0,0,0,0,betaine
X800,0.009566383,0,0,0,0.004386901,0,cysteine
X803,0.012357233,0,0,0,0,0,mannose
X806,0.000116754,0,0,0,0,0,dimethylglycine
X811,-0.000247774,-0.013239652,0,0,-0.012829731,0,alanine
X815,0,0,0,0,0,0,tyrosine
X821,0,0,0,0,-0.005742811,0,pseudouridine
X823,0,0,0,0,0,0,pyruvate
X825,0,0,0,0,0,0,uracil
X878,0,0,0,0,0,0,fructose
X880,0,0,0,0,0,0,adenine
X888,-0.008364679,0,0,0,0,0,caprate (10:0)
X891,0,0,0,0,0,0,margarate (17:0)
X892,0,0,0,0,0,0,nonadecanoate (19:0)
X893,0,0,0,0,0,0,arachidate (20:0)
X917,-0.004058121,0,0,0,-0.01363583,0,asparagine
X923,0,0,0,0,0,0,dihydroorotate
X93,0,0.004132395,-0.000858083,0,0.015334713,0,alpha-ketoglutarate
X932,-0.00035822,0,0,0,0,0,caprylate (8:0)
X98,0,0,0,0,0,0,kynurenate
X980,0,0,0,0,0,0,pentadecanoate (15:0)
