trait,model,or,se,lowerCI,upperCI,n,p_val,outcome,strata,p_label,IRR,baseline
log_HB,mdl1_mdl1_covar,1.070939551,0.082,0.911937655,1.257664397,1449,0.405247163,incident_htn,female,,1.070939551,Normal
log_HB,mdl2_mdl1_covar,1.059015837,0.081,0.90355348,1.241226522,1436,0.48095194,incident_htn,female,,1.059015837,Normal
osa_lasso_mrs,mdl1_mdl1_covar,1.374692689,0.082,1.170592706,1.614378749,1449,0.00011401,incident_htn,female,***,1.374692689,Normal
osa_lasso_mrs,mdl2_mdl1_covar,1.376581421,0.081,1.174500786,1.613431366,1436,7.38669E-05,incident_htn,female,***,1.376581421,Normal
REI3,mdl1_mdl1_covar,1.114980678,0.058,0.995168784,1.249217151,1449,0.058428292,incident_htn,female,,1.114980678,Normal
REI3,mdl2_mdl1_covar,1.112429148,0.055,0.998746832,1.23905135,1436,0.052791695,incident_htn,female,,1.112429148,Normal
sdb_pc1,mdl1_mdl1_covar,1.035632281,0.097,0.856322809,1.252488208,1449,0.719422795,incident_htn,female,,1.035632281,Normal
sdb_pc1,mdl2_mdl1_covar,1.016262245,0.097,0.840306503,1.22906219,1436,0.867550391,incident_htn,female,,1.016262245,Normal
sdb_pc2,mdl1_mdl1_covar,0.924269989,0.091,0.773282333,1.104738821,1449,0.38434455,incident_htn,female,,0.924269989,Normal
sdb_pc2,mdl2_mdl1_covar,0.927401457,0.089,0.778949754,1.104144982,1436,0.397493098,incident_htn,female,,0.927401457,Normal
sdbpc1_mrs,mdl1_mdl1_covar,1.14965067,0.1,0.945026916,1.398580971,1449,0.163912436,incident_htn,female,,1.14965067,Normal
sdbpc1_mrs,mdl2_mdl1_covar,1.131218569,0.095,0.939033082,1.362737346,1436,0.195689388,incident_htn,female,,1.131218569,Normal
sdbpc2_mrs,mdl1_mdl1_covar,1.168026235,0.089,0.981057062,1.390627864,1449,0.082132075,incident_htn,female,,1.168026235,Normal
sdbpc2_mrs,mdl2_mdl1_covar,1.179997421,0.097,0.975692556,1.427082647,1436,0.086526492,incident_htn,female,,1.179997421,Normal
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.179551874,0.095,0.979154924,1.420962698,1449,0.080914423,incident_htn,female,,1.179551874,Normal
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.163493636,0.09,0.975336474,1.387949161,1436,0.091133925,incident_htn,female,,1.163493636,Normal
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.118753001,0.075,0.965812728,1.295911972,1449,0.134312299,incident_htn,female,,1.118753001,Normal
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.099352298,0.078,0.943500095,1.280948971,1436,0.224402544,incident_htn,female,,1.099352298,Normal
log_HB,mdl1_mdl1_covar,1.132891751,0.107,0.918561367,1.397232418,939,0.241412106,incident_htn,male,,1.132891751,Normal
log_HB,mdl2_mdl1_covar,1.139820204,0.104,0.929629215,1.397535788,924,0.209803717,incident_htn,male,,1.139820204,Normal
osa_lasso_mrs,mdl1_mdl1_covar,1.523943349,0.085,1.290076197,1.800206326,939,7.20131E-07,incident_htn,male,***,1.523943349,Normal
osa_lasso_mrs,mdl2_mdl1_covar,1.527010765,0.085,1.292672881,1.803829808,924,6.93362E-07,incident_htn,male,***,1.527010765,Normal
REI3,mdl1_mdl1_covar,1.071622818,0.066,0.941589524,1.219613678,939,0.291088933,incident_htn,male,,1.071622818,Normal
REI3,mdl2_mdl1_covar,1.049893803,0.064,0.926120447,1.190209116,924,0.448204399,incident_htn,male,,1.049893803,Normal
sdb_pc1,mdl1_mdl1_covar,1.109749394,0.113,0.889277644,1.384881004,939,0.356765855,incident_htn,male,,1.109749394,Normal
sdb_pc1,mdl2_mdl1_covar,1.113340165,0.109,0.89917703,1.378511997,924,0.325341732,incident_htn,male,,1.113340165,Normal
sdb_pc2,mdl1_mdl1_covar,1.00668216,0.12,0.795694415,1.273615789,939,0.955677369,incident_htn,male,,1.00668216,Normal
sdb_pc2,mdl2_mdl1_covar,1.001028584,0.116,0.797453347,1.25657285,924,0.992954943,incident_htn,male,,1.001028584,Normal
sdbpc1_mrs,mdl1_mdl1_covar,1.264591326,0.109,1.021333379,1.565787681,939,0.030901033,incident_htn,male,*,1.264591326,Normal
sdbpc1_mrs,mdl2_mdl1_covar,1.237670699,0.107,1.003517316,1.526459718,924,0.047259575,incident_htn,male,*,1.237670699,Normal
sdbpc2_mrs,mdl1_mdl1_covar,1.403588027,0.089,1.178911829,1.671082858,939,0.0001405,incident_htn,male,***,1.403588027,Normal
sdbpc2_mrs,mdl2_mdl1_covar,1.387383211,0.096,1.149422211,1.674608474,924,0.000673557,incident_htn,male,***,1.387383211,Normal
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.207033752,0.093,1.005903261,1.448380311,939,0.042763595,incident_htn,male,*,1.207033752,Normal
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.203409033,0.091,1.006821552,1.438381309,924,0.042453742,incident_htn,male,*,1.203409033,Normal
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.177647807,0.084,0.998879693,1.388409803,939,0.051599601,incident_htn,male,,1.177647807,Normal
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.162612279,0.085,0.984195658,1.373372561,924,0.076844601,incident_htn,male,,1.162612279,Normal
